,Season,TeamID,Played,W,L,Win rate,Seed,Mean score
0,1985,1101,0,0,0,0.0,0,
1,1985,1102,24,5,19,0.20833333333333334,0,66.0
2,1985,1103,23,9,14,0.391304347826087,0,62.682539682539684
3,1985,1104,30,21,9,0.7,7,66.10317460317461
4,1985,1105,0,0,0,0.0,0,
5,1985,1106,24,10,14,0.4166666666666667,0,72.12142857142857
6,1985,1107,0,0,0,0.0,0,
7,1985,1108,25,19,6,0.76,0,79.92105263157895
8,1985,1109,24,1,23,0.041666666666666664,0,53.913043478260875
9,1985,1110,25,7,18,0.28,0,72.23015873015873
10,1985,1111,24,10,14,0.4166666666666667,0,67.65
11,1985,1112,27,18,9,0.6666666666666666,10,64.63888888888889
12,1985,1113,27,11,16,0.4074074074074074,0,68.82954545454545
13,1985,1114,30,17,13,0.5666666666666667,0,71.14253393665159
14,1985,1115,0,0,0,0.0,0,
15,1985,1116,33,21,12,0.6363636363636364,9,63.976190476190474
16,1985,1117,25,11,14,0.44,0,64.25974025974025
17,1985,1118,0,0,0,0.0,0,
18,1985,1119,28,15,13,0.5357142857142857,0,66.05641025641026
19,1985,1120,29,18,11,0.6206896551724138,11,69.60606060606061
20,1985,1121,26,7,19,0.2692307692307692,0,68.48496240601504
21,1985,1122,23,6,17,0.2608695652173913,0,64.04411764705883
22,1985,1123,29,13,16,0.4482758620689655,0,77.41346153846155
23,1985,1124,24,7,17,0.2916666666666667,0,82.14705882352942
24,1985,1125,0,0,0,0.0,0,
25,1985,1126,25,6,19,0.24,0,68.04824561403508
26,1985,1127,0,0,0,0.0,0,
27,1985,1128,0,0,0,0.0,0,
28,1985,1129,25,12,13,0.48,0,67.24679487179488
29,1985,1130,26,16,10,0.6153846153846154,11,72.975
30,1985,1131,28,14,14,0.5,0,68.42857142857142
31,1985,1132,26,11,15,0.4230769230769231,0,67.98787878787878
32,1985,1133,28,16,12,0.5714285714285714,0,69.92708333333334
33,1985,1134,24,11,13,0.4583333333333333,0,69.3881118881119
34,1985,1135,26,8,18,0.3076923076923077,0,68.22222222222223
35,1985,1136,0,0,0,0.0,0,
36,1985,1137,25,15,10,0.6,0,70.43333333333334
37,1985,1138,0,0,0,0.0,0,
38,1985,1139,24,16,8,0.6666666666666666,0,67.34375
39,1985,1140,29,15,14,0.5172413793103449,0,75.0142857142857
40,1985,1141,24,6,18,0.25,0,70.91666666666667
41,1985,1142,0,0,0,0.0,0,
42,1985,1143,25,10,15,0.4,0,60.2
43,1985,1144,23,2,21,0.08695652173913043,0,61.23809523809524
44,1985,1145,27,18,9,0.6666666666666666,0,68.83333333333333
45,1985,1146,0,0,0,0.0,0,
46,1985,1147,24,4,20,0.16666666666666666,0,70.125
47,1985,1148,0,0,0,0.0,0,
48,1985,1149,23,10,13,0.43478260869565216,0,66.93846153846154
49,1985,1150,25,4,21,0.16,0,70.35119047619048
50,1985,1151,26,19,7,0.7307692307692307,0,67.01127819548873
51,1985,1152,25,14,11,0.56,0,72.17532467532467
52,1985,1153,27,14,13,0.5185185185185185,0,63.747252747252745
53,1985,1154,25,15,10,0.6,0,74.88333333333333
54,1985,1155,27,15,12,0.5555555555555556,0,73.67500000000001
55,1985,1156,26,18,8,0.6923076923076923,0,79.04166666666666
56,1985,1157,0,0,0,0.0,0,
57,1985,1158,0,0,0,0.0,0,
58,1985,1159,22,1,21,0.045454545454545456,0,53.0
59,1985,1160,25,8,17,0.32,0,73.16176470588235
60,1985,1161,28,16,12,0.5714285714285714,0,67.4375
61,1985,1162,25,12,13,0.48,0,59.69551282051282
62,1985,1163,28,13,15,0.4642857142857143,0,71.61794871794872
63,1985,1164,0,0,0,0.0,0,
64,1985,1165,24,12,12,0.5,0,61.375
65,1985,1166,25,13,12,0.52,0,71.8301282051282
66,1985,1167,0,0,0,0.0,0,
67,1985,1168,29,16,13,0.5517241379310345,0,68.6201923076923
68,1985,1169,0,0,0,0.0,0,
69,1985,1170,0,0,0,0.0,0,
70,1985,1171,25,5,20,0.2,0,64.67500000000001
71,1985,1172,27,8,19,0.2962962962962963,0,69.36184210526315
72,1985,1173,28,19,9,0.6785714285714286,9,68.86842105263159
73,1985,1174,25,11,14,0.44,0,68.62987012987013
74,1985,1175,25,10,15,0.4,0,70.31666666666666
75,1985,1176,0,0,0,0.0,0,
76,1985,1177,27,18,9,0.6666666666666666,10,70.27777777777777
77,1985,1178,27,15,12,0.5555555555555556,0,73.475
78,1985,1179,24,9,15,0.375,0,66.67777777777778
79,1985,1180,28,10,18,0.35714285714285715,0,68.86111111111111
80,1985,1181,29,22,7,0.7586206896551724,3,76.82142857142857
81,1985,1182,27,9,18,0.3333333333333333,0,64.27777777777777
82,1985,1183,27,17,10,0.6296296296296297,0,73.89705882352942
83,1985,1184,25,12,13,0.48,0,64.38782051282051
84,1985,1185,27,14,13,0.5185185185185185,0,75.04945054945054
85,1985,1186,23,8,15,0.34782608695652173,0,67.46666666666667
86,1985,1187,25,4,21,0.16,0,66.38690476190476
87,1985,1188,0,0,0,0.0,0,
88,1985,1189,0,0,0,0.0,0,
89,1985,1190,26,8,18,0.3076923076923077,0,68.98611111111111
90,1985,1191,27,11,16,0.4074074074074074,0,71.33522727272728
91,1985,1192,28,19,9,0.6785714285714286,16,65.72807017543859
92,1985,1193,27,10,17,0.37037037037037035,0,74.78823529411764
93,1985,1194,0,0,0,0.0,0,
94,1985,1195,0,0,0,0.0,0,
95,1985,1196,28,17,11,0.6071428571428571,0,70.65508021390374
96,1985,1197,24,8,16,0.3333333333333333,0,77.15625
97,1985,1198,0,0,0,0.0,0,
98,1985,1199,26,10,16,0.38461538461538464,0,76.29375
99,1985,1200,30,19,11,0.6333333333333333,0,65.60287081339713
100,1985,1201,28,20,8,0.7142857142857143,0,58.65
101,1985,1202,26,5,21,0.19230769230769232,0,63.60476190476191
102,1985,1203,27,13,14,0.48148148148148145,0,70.27472527472527
103,1985,1204,25,20,5,0.8,0,67.225
104,1985,1205,0,0,0,0.0,0,
105,1985,1206,28,17,11,0.6071428571428571,0,77.58021390374331
106,1985,1207,27,25,2,0.9259259259259259,1,70.34
107,1985,1208,27,19,8,0.7037037037037037,6,75.17763157894737
108,1985,1209,26,1,25,0.038461538461538464,0,69.4
109,1985,1210,31,24,7,0.7741935483870968,2,68.25595238095238
110,1985,1211,25,12,13,0.48,0,57.121794871794876
111,1985,1212,24,6,18,0.25,0,64.33333333333333
112,1985,1213,0,0,0,0.0,0,
113,1985,1214,0,0,0,0.0,0,
114,1985,1215,25,8,17,0.32,0,66.03308823529412
115,1985,1216,26,6,20,0.23076923076923078,0,66.84166666666667
116,1985,1217,21,12,9,0.5714285714285714,0,63.791666666666664
117,1985,1218,28,10,18,0.35714285714285715,0,70.29444444444445
118,1985,1219,0,0,0,0.0,0,
119,1985,1220,26,11,15,0.4230769230769231,0,73.22121212121212
120,1985,1221,27,8,19,0.2962962962962963,0,71.02960526315789
121,1985,1222,26,13,13,0.5,0,77.23076923076923
122,1985,1223,25,17,8,0.68,0,65.8860294117647
123,1985,1224,26,16,10,0.6153846153846154,0,65.3375
124,1985,1225,26,5,21,0.19230769230769232,0,73.94761904761904
125,1985,1226,28,10,18,0.35714285714285715,0,77.10555555555555
126,1985,1227,26,13,13,0.5,0,70.15384615384616
127,1985,1228,31,23,8,0.7419354838709677,3,63.546195652173914
128,1985,1229,27,20,7,0.7407407407407407,9,69.17142857142858
129,1985,1230,0,0,0,0.0,0,
130,1985,1231,28,15,13,0.5357142857142857,0,69.49487179487178
131,1985,1232,26,11,15,0.4230769230769231,0,77.25454545454545
132,1985,1233,29,25,4,0.8620689655172413,13,73.735
133,1985,1234,30,20,10,0.6666666666666666,8,66.475
134,1985,1235,29,17,12,0.5862068965517241,13,71.3406862745098
135,1985,1236,0,0,0,0.0,0,
136,1985,1237,0,0,0,0.0,0,
137,1985,1238,24,8,16,0.3333333333333333,0,69.1875
138,1985,1239,27,13,14,0.48148148148148145,0,68.95054945054945
139,1985,1240,0,0,0,0.0,0,
140,1985,1241,26,12,14,0.46153846153846156,0,62.48809523809524
141,1985,1242,30,23,7,0.7666666666666667,3,73.04037267080746
142,1985,1243,26,12,14,0.46153846153846156,0,68.90476190476191
143,1985,1244,0,0,0,0.0,0,
144,1985,1245,28,16,12,0.5714285714285714,0,71.375
145,1985,1246,28,16,12,0.5714285714285714,12,65.27083333333333
146,1985,1247,28,15,13,0.5357142857142857,0,73.23589743589744
147,1985,1248,26,13,13,0.5,0,63.0
148,1985,1249,30,19,11,0.6333333333333333,0,72.22966507177034
149,1985,1250,29,11,18,0.3793103448275862,16,67.50252525252526
150,1985,1251,0,0,0,0.0,0,
151,1985,1252,0,0,0,0.0,0,
152,1985,1253,25,2,23,0.08,0,67.67391304347827
153,1985,1254,24,11,13,0.4583333333333333,0,74.23776223776224
154,1985,1255,0,0,0,0.0,0,
155,1985,1256,28,26,2,0.9285714285714286,5,73.11538461538461
156,1985,1257,28,14,14,0.5,0,68.67857142857143
157,1985,1258,23,7,16,0.30434782608695654,0,68.08482142857143
158,1985,1259,27,14,13,0.5185185185185185,0,69.62362637362638
159,1985,1260,30,25,5,0.8333333333333334,4,83.9
160,1985,1261,28,19,9,0.6785714285714286,4,71.0701754385965
161,1985,1262,0,0,0,0.0,0,
162,1985,1263,27,10,17,0.37037037037037035,0,68.65882352941176
163,1985,1264,28,8,20,0.2857142857142857,0,68.0625
164,1985,1265,28,16,12,0.5714285714285714,0,62.21875
165,1985,1266,28,18,10,0.6428571428571429,0,64.11666666666666
166,1985,1267,31,19,12,0.6129032258064516,15,72.84429824561403
167,1985,1268,33,22,11,0.6666666666666666,5,69.68181818181819
168,1985,1269,27,12,15,0.4444444444444444,0,65.66666666666667
169,1985,1270,24,14,10,0.5833333333333334,0,74.06428571428572
170,1985,1271,25,2,23,0.08,0,66.0
171,1985,1272,29,26,3,0.896551724137931,2,70.65384615384616
172,1985,1273,28,20,8,0.7142857142857143,15,75.65
173,1985,1274,0,0,0,0.0,0,
174,1985,1275,28,18,10,0.6428571428571429,12,72.0
175,1985,1276,28,25,3,0.8928571428571429,1,73.55333333333334
176,1985,1277,28,19,9,0.6785714285714286,10,71.99707602339181
177,1985,1278,28,13,15,0.4642857142857143,0,66.45128205128205
178,1985,1279,25,8,17,0.32,0,59.205882352941174
179,1985,1280,26,11,15,0.4230769230769231,0,65.24545454545455
180,1985,1281,29,16,13,0.5517241379310345,0,70.7139423076923
181,1985,1282,0,0,0,0.0,0,
182,1985,1283,26,13,13,0.5,0,69.46153846153847
183,1985,1284,24,9,15,0.375,0,70.6888888888889
184,1985,1285,25,18,7,0.72,0,68.32539682539684
185,1985,1286,25,9,16,0.36,0,71.77430555555556
186,1985,1287,23,3,20,0.13043478260869565,0,68.30833333333334
187,1985,1288,26,2,24,0.07692307692307693,0,74.14583333333334
188,1985,1289,0,0,0,0.0,0,
189,1985,1290,22,11,11,0.5,0,79.04545454545455
190,1985,1291,0,0,0,0.0,0,
191,1985,1292,26,13,13,0.5,15,67.23076923076923
192,1985,1293,24,16,8,0.6666666666666666,0,63.84375
193,1985,1294,0,0,0,0.0,0,
194,1985,1295,0,0,0,0.0,0,
195,1985,1296,25,9,16,0.36,0,69.90625
196,1985,1297,0,0,0,0.0,0,
197,1985,1298,28,23,5,0.8214285714285714,13,74.84347826086956
198,1985,1299,24,16,8,0.6666666666666666,16,68.875
199,1985,1300,0,0,0,0.0,0,
200,1985,1301,29,20,9,0.6896551724137931,3,71.28055555555557
201,1985,1302,0,0,0,0.0,0,
202,1985,1303,0,0,0,0.0,0,
203,1985,1304,25,12,13,0.48,0,70.37820512820512
204,1985,1305,28,19,9,0.6785714285714286,14,75.71637426900585
205,1985,1306,29,7,22,0.2413793103448276,0,58.62662337662337
